Channel Name,Language,Category,"Orbital
Position",Satellite,"Trans.
Num.","Transponder
Frequency","Transponder
Polarization","Symbol
Rate",FEC,
Me Chef TV,Persian,Cooking,13.0° East,Eutelsat Hot Bird 13B,-,11747 MHz,Horizental,27500,3/4,
National Geographic Farsi,Persian,Documentaries,13.0° East,Eutelsat Hot Bird 13E,-,10775 MHz,Horizental,27500,5/6,
NASA TV UHD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13B,-,10727 MHz,Horizental,30000,3/4,
NASA TV HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,11373 MHz,Horizental,27500,3/4,
Animal Planet Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10834 MHz,Vertical,27500,3/4,
National Geographic Wild Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10719 MHz,Vertical,27500,3/4,
National Geographic Wild Polska,English,Documentaries,13.0° East,Eutelsat Hot Bird 13B,-,12188 MHz,Vertical,27500,3/4,
National Geographic People HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13B,-,12284 MHz,Horizental,27500,3/4,
National Geographic Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,11278 MHz,Vertical,27500,3/4,
National Geographic Polska,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10796 MHz,Vertical,27500,3/4,
Discovery Channel Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,11449 MHz,Vertical,27500,3/4,
BBC Earth Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10834 MHz,Vertical,27500,3/4,
IRIB TV4 HD,Persian,Documentaries,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Mostanad TV9 HD,Persian,Documentaries,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Mostanad TV9,Persian,Documentaries,26.0° East,Arabsat BADR-5,-,11900 MHz,Vertical,27500,3/4,
GEM NATURE,Persian,Documentaries,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM NATURE,Persian,Documentaries,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
IRIB TV4,Persian,Documentaries,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB Mostanad TV9,Persian,Documentaries,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,2/3,
National Geographic Farsi,Persian,Documentaries,7.0° East,Eutelsat 7A,-,11345 MHz,Horizental,27500,5/6,
National Geographic Farsi HD,Persian,Documentaries,7.0° East,Eutelsat 7B,-,11304 MHz,Horizental,29700,2/3,
Animal Planet Middle East HD,English,Documentaries,7.0° West,Nilesat 201,-,12073 MHz,Horizental,30000,3/4,
RTG TV HD,English,Documentaries,9.0° East,Eutelsat 9B,-,12034 MHz,Vertical,27500,-,
IRIB Amouzesh TV7 HD,Persian,Education,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Amouzesh TV7,Persian,Education,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
BBC One,English,Entertainment,10.0° East,Eutelsat 10A,-,11221 MHz,Vertical,30000,5/6,
Manoto,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13C,131,11137 MHz,Horizental,27500,-,
